absence presence plenty existence enough
accept refuse fail deny reject
accurate inaccurate indefinite unreliable faulty
advantage disadvantage harm impotence inferiority
alive dead unconscious sluggish deceased
ancient modern current fresh new
answer question  query quiet trouble
approval disapproval denial veto refusal
approached receded  departed leave retreat
abundant scarce lacking sparse meager
admit deny repudiate expel oust
advance retreat  retire behind later
artificial natural genuine real unaffected
ascend descend drop slump decline
attack defense flight shelter shield
attention inattention disregard lethargy neglect
asleep awake conscious attentive awake
ally enemy antagonist detractor foe
agree disagree reject resist object
beginning ending finish epilogue finale
blunt sharp polite subtle sharp
blame praise approval peace ratification
bitter sweet bland pleasant mild
borrow lend forfeit lend return
bravery cowardice timidity fear cowardice
broad narrow quiet little tiny
careful rush  careless inexact unwise
calm troubled harsh furious worried
capable incapable clumsy stupid ignorant
captivity freedom  liberty freedom license
cheap dear  expensive expensive worthy
clever stupid foolish ignorant naïve
correct incorrect improper invalid biased
conceal reveal divulge unwrap ignore
comfort discomfort gloom injury torment
courage cowardice humility timidity irresolution
cruel kind gentle compassionate mild
courteous discourteous  rude uncivil unrefined
cunning simple ignorant blunt rough
beautiful ugly drab offensive repulsive
dainty clumsy ugly inferior coarse
dark light distinct evident vivacious
deep shallow artless flighty trivial
decrease increase expansion growth enlargement
demand supply reply offer grant
despair hope cheer faith pleasure
disappear appear begin solidify coagulate
dismal cheerful bright intelligent luminous
ebb flow flow incline expansion
encourage discourage agitate sadden dispirit
entrance exit conclusion egress leave
end beginning bottom creation origin
expand contract diminish shrink shrivel
expensive inexpensive  cheap worthless reasonable
fail succeed ascend rise reach
feeble sturdy  strong  powerful expert
foolish wise sane realistic serious
famous unknown obscure inferior typical
first last minor trivial auxiliary
freedom captivity slavery inability restraint
frequent seldom ceasing irregular rare
friend enemy foe stranger opponent
fortunate unfortunate failing lacking losing
frank secretive timidity shy evasive
generous mean greedy biased prejudiced
gentle rough surly excited harsh
gloomy cheerful lively luminous intelligent
giant dwarf  pygmy dwarf teeny
happy sad  miserable serious morose
harmful harmless assisting honest fortunate
hasten dawdle halt hinder dissuade
hate love liking sympathy flattery
healthy unhealthy  ill  diseased infirm
horizontal vertical divergent unfair irregular
hinder aid  help further allow
honest dishonest counterfeit deceitful corrupt
humble proud brave unrefined intricate
hunger thirst distaste disgust satiation
immense tiny  minute limited restricted
imprison free cease permit release
inferior superior chief extraordinary foremost
interior exterior  outside revealed public
interesting uninteresting  dull repulsive homely
intentional accidental involuntary unwilling unplanned
justice injustice penalty illegality corruption
knowledge ignorance inanity stupidity impotence
lazy industrious  energetic caring fresh
little large  much  big sufficient
lofty lowly humble below beneath
misunderstand understand comprehend construe grasp
possible impossible unlikely improbable impossible
prudent imprudent foolish indiscreet stupid
rapid slow delayed sluggish languishing
rigid pliable  soft gentle pliant
satisfactory unsatisfactory intolerable unreliable inadequate
scatter collect gather maintain combine
serious trivial insincere dishonest deceptive
sour sweet bland calm blah
sorrow joy benefit cheer benefit
strong weak intermittent idle inactive
